"VEHICLE_HAL_ID";"VEHICLE_MODEL_TYPE";"VEHICLE_MANUFACTURER_NAME";"VEHICLE_MODEL_NAME";"VEHICLE_TYPE_NAME";"VIN";"REGISTRATION_PLATE";"SERIAL_NUMBER";"KW";"FUEL_TYPE_NAME";"OWNERSHIP_TYPE";"CAPACITY_AMOUNT";"ACCESS_CONTROL_COMPONENT_TYPE";"COMPANY";"COMPANY_GROUP"
"117496";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7520";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"117498";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7522";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"117500";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7524";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"117523";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7547";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"117540";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7564";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"117542";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"7566";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
"177608";"Fahrrad";"Biketec";"Lidl-Look";"LIDL-BIKE";"";"";"17065";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106941";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0942";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106957";"Fahrrad";"Biketec";"DB-Look";"CallBike";"";"";"0958";"";"";"Kauf";"";"CAB GPRS 2.0";"Call a Bike";"Call a Bike"
"106965";"Fahrrad";"Biketec";"StadtRAD-Look";"StadtRAD";"";"";"0966";"";"";"Kauf";"";"CAB 2.0";"StadtRAD Hamburg";"Call a Bike"
