RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
354,Standort,M├╝nchner Freiheit,88001308,normal,M├╝nchen,Deutschland,"11,586111110000000","48,161944440000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
388,Standort,Ostbahnhof,88001662,normal,M├╝nchen,Deutschland,"11,604444440000000","48,128611110000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
499,Standort,DB_MobilityCenter,88002897,normal,M├╝nchen,Deutschland,,,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1532,Standort,Stiglmaierplatz,88006552,normal,M├╝nchen,Deutschland,"11,558888890000000","48,146944440000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1559,Standort,DB_MobilityCenter,88006834,normal,M├╝nchen,Deutschland,"11,575277780000000","48,160277780000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1589,Standort,LMU Projektstandort 5,88007143,normal,M├╝nchen,Deutschland,"11,595277780000000","48,150555560000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1610,Standort,Kurf├╝rstenplatz,88007319,normal,M├╝nchen,Deutschland,"11,575277780000000","48,159722220000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1735,Standort,Z├╝lpicher Platz/Friedrichstr.,40027904,normal,K├Čln,Deutschland,"6,939332934200000","50,930237905400000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1784,Standort,Mediapark,40028331,normal,K├Čln,Deutschland,"6,942899402100000","50,946266014500000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1797,Standort,The Coffee Store,40028454,normal,K├Čln,Deutschland,"6,952250420600000","50,939732973000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1922,Standort,Chlodwigplatz,40029458,normal,K├Čln,Deutschland,"6,959477162300000","50,921020722100000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
1955,Standort,WDR,40018687,normal,K├Čln,Deutschland,"6,956113486400000","50,940594393900000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
2089,Standort,Z├╝lpicher Platz/Friedrichstr.,40019580,normal,K├Čln,Deutschland,"6,940756614800000","50,931067207000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
2216,Standort,Hansaring/Krefelder Str.,40020512,normal,K├Čln,Deutschland,"6,951829878600000","50,948777870300000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
2414,Standort,Eigelstein/Ebertplatz,40022212,normal,K├Čln,Deutschland,"6,956884699500000","50,949074010600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
2415,Standort,Eigelstein/Ebertplatz,40022213,normal,K├Čln,Deutschland,"6,956884699500000","50,949074010600000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
3531,Standort,Stachus,88005015,normal,M├╝nchen,Deutschland,"11,565555560000000","48,138888890000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
3710,Standort,Hausener Weg / Ludwig-Landmann-Stra├¤e,6048900001,normal,Frankfurt am Main,Deutschland,"8,619363000000000","50,131464000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
3717,Standort,Praunheimer Landstra├¤e / Im Vogelsgesang,6048800001,normal,Frankfurt am Main,Deutschland,"8,624699000000000","50,138729000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
3916,Standort,Lokalbahnhof,6059400011,normal,Frankfurt am Main,Deutschland,"8,690737000000000","50,101568000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
3954,Standort,Kleinmarkthalle,6031100001,normal,Frankfurt am Main,Deutschland,"8,682078425400000","50,112254674500000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
3961,Standort,Fressgass,6031300005,normal,Frankfurt am Main,Deutschland,"8,676285000000000","50,114175000000000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
4014,Standort,Campus Westend / Hansaallee / Bremer Stra├¤e,6032300004,normal,Frankfurt am Main,Deutschland,"8,671474747000000","50,127174005500000",Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
